speaker,syllable,t_start,t_end,f0_mean,f0_min,f0_max,f0_start,f0_end,T_mean,T_start,T_end
participant 01 raw,妈,0.71102,1.19959,249.47453010486424,117.57980502461604,391.9301826036653,218.78161387069926,329.80349739711903,3.243305322507336,1.9106743275857645,6.076813541907297
participant 01 raw,麻,2.18764,2.69409,220.02674237291683,65.013688578942,300.9443357725138,259.37500130372433,76.6104790257561,1.968280969050209,3.6383565375215294,-8.741012920005929
participant 01 raw,马,3.80453,4.3876,259.1409827813777,204.76902128625247,290.853136421413,264.7371572018712,225.41542614869869,3.6291939060633642,3.8460689549896343,2.213890187457215
participant 01 raw,骂,5.61343,6.11626,191.5806559068101,136.9429909611337,443.3173360638264,209.17449949327664,189.15020109856846,0.5629962829386994,1.4548486336192508,0.43339554381571144
participant 01 raw,花,7.75201,8.38606,284.8741496238432,239.02852670847125,351.67066742251967,252.6931131596601,317.4284381226522,4.590227540620499,3.3734283163122103,5.688598476019953
participant 01 raw,高,9.59877,10.12653,258.5499246118251,212.66093858555928,297.9893074405421,221.6693716018592,293.13554880344816,3.6060150509340154,2.0437815120841534,4.880416017305683
participant 01 raw,多,11.3847,11.85205,267.17051203195007,227.35662155613176,313.13308394220826,236.48058999260053,305.72010219236074,3.938945130749489,2.700329691611116,5.307105267232696
participant 01 raw,天,13.20954,13.81147,256.2068939618019,229.83922685352692,326.1230695550558,234.21357473671657,290.14988082371235,3.5136067540536873,2.602549453245108,4.776496701030642
participant 01 raw,头,15.24252,15.66191,210.3034784123039,123.02976301563031,256.55066490096567,254.42949351139785,157.84807189197988,1.5094885241391949,3.4429412622329516,-1.4029773599506234
participant 01 raw,牛,16.98837,17.54989,211.51795330171603,168.83211001951167,262.9265433853121,222.16462961638865,178.6672967715953,1.5679396934258683,2.066435425068888,-0.1453650726897678
participant 01 raw,人,18.9365,19.58504,216.10601882000648,94.93818733923995,262.2730216772789,238.77198033717332,186.3093901497995,1.7857690147830723,2.7982133234141013,0.2797855318932135
participant 01 raw,狼,20.79106,21.36924,215.31305390442768,173.6455915625714,269.01971818768374,222.05279888221978,186.76994145084586,1.7484536900231051,2.0613245213856572,0.30484715238639104
participant 01 raw,你,22.58905,23.21102,277.8532367272886,265.5699693893161,284.62222742529644,270.4600251818392,277.6105261589207,4.336918800437531,4.063163328247165,4.328047953451492
participant 01 raw,我,24.3145,24.98459,265.787241403535,247.00669078733065,287.2717419239891,259.25114573094305,266.6015085399762,3.8862527949200243,3.6335081954109936,3.91730342956786
participant 01 raw,米,26.12409,26.7425,274.4925434182089,252.39572257776467,291.57364475699774,264.3421886907509,273.87077573843567,4.213393674509518,3.830913329995659,4.190374378486646
participant 01 raw,水,27.86049,28.56087,245.0958485859209,106.67097770740536,315.6312008997922,288.91723871566126,197.07884386635038,3.0635595398599076,4.733281070394709,0.8502140977317785
participant 01 raw,饭,29.89767,30.67648,193.77991690023055,177.9206560118058,255.87089871341206,235.10110383247348,215.5155252824935,0.6788596947289818,2.6409423679930892,1.757994632361825
participant 01 raw,菜,31.79854,32.52209,194.47068247764219,175.454348660606,333.3904887732654,200.958156173632,218.52561015313685,0.7149799753679761,1.048082823168966,1.8987895303961666
participant 01 raw,豆,33.67038,34.21215,204.62644379564102,174.9482491167479,322.8644389906627,184.53585883758294,238.4659593776522,1.2317053127999376,0.1826939544582706,2.785195200281637
participant 01 raw,二,35.42498,35.97923,209.8904382214256,186.44307411411535,319.581797491627,205.132447988874,237.23214565371563,1.489532464318886,1.2567755276090036,2.7325387893441264
participant 01 raw,爸1,38.17386,38.40019,209.45258169963182,199.88066664674778,239.0378887357373,231.0181989601026,209.58344579027352,1.4683344750825829,2.46310812687502,1.4746746501059211
participant 01 raw,爸2,38.40019,38.82256,238.43853453503596,208.9527107446025,300.6029740415046,214.72623523341227,294.29447061424685,2.784027732687059,1.7207506032170758,4.920468613154127
participant 01 raw,妈1,40.45406,40.6501,243.86705781312202,235.8833413660131,270.6314107349256,238.2381918468812,259.5200907439879,3.012540175108771,2.7754951269406023,3.644033138382295
participant 01 raw,妈2,40.6501,41.11167,285.3865521913453,271.8056767347286,302.1345869871572,286.68722484034186,294.6084427978118,4.608469440801662,4.654627636108939,4.9312924096124595
participant 01 raw,姐1,43.00755,43.28913,272.46884267674807,248.86471697632413,296.1653526871568,284.28959036832254,274.15106920650913,4.1382791867099415,4.569376699715467,4.200757961747914
participant 01 raw,姐2,43.28913,43.65982,242.9896339943197,195.97838729774784,276.39698622882383,275.30636051481093,207.8272390858533,2.9759519913764514,4.243444427713976,1.3892571736601715
participant 01 raw,妹1,45.49408,45.77031,232.7733918884018,204.31230229212167,268.9665178051096,234.28470528236633,216.45034325768023,2.5399390707998353,2.6056317911558065,1.801929609527151
participant 01 raw,妹2,45.77031,46.27466,181.74786662017277,166.03113320858472,206.28742898970438,187.69750407999834,183.387784850966,0.028163377257977202,0.3551348981566031,0.11934408944831658
participant 01 raw,哥1,47.89353,48.15961,288.0003017713393,248.318039275559,315.11546138328384,251.50684617596363,296.6487783339975,4.701014099400454,3.325663012615316,5.001350607992268
participant 01 raw,哥2,48.19631,48.6216,296.60931071944816,292.6339799595074,318.9459008154167,296.73309856302296,306.7577568395369,5.0,5.004235500312394,5.341500239402742
participant 01 raw,弟1,50.12603,50.391,233.2351984178341,192.8576380153169,242.55085497614965,240.24877970007992,197.62368071489772,2.5600577003477074,2.8608027023117475,0.8782380218876624
participant 01 raw,弟2,50.40452,50.81382,193.39027853384735,181.44432986264528,225.56854281000489,204.05415085710518,197.09878908716453,0.6584285806913613,1.203275973971068,0.8512413544187767
participant 01 raw,弟3,52.45554,52.79155,221.5301609344098,206.79311525727954,244.78002636085387,213.4942791835725,228.76648196160374,2.0374046747107166,1.6623441210993941,2.3636832902206555
participant 01 raw,弟4,52.79155,53.17788,196.59653031406924,73.54643732328938,219.1112668216381,198.4106321827284,104.6668066127575,0.8253413629755144,0.9185791288499133,-5.573460997945099
participant 01 raw,爷1,54.65145,54.95766,223.81724026203864,102.79199593486184,277.2941427920367,235.67176543107195,106.21917120487316,2.141664796797779,2.6655516838298077,-5.424014420228834
participant 01 raw,爷2,54.95766,55.42332,240.1381410723201,102.99188957061021,321.4175339261005,202.9138432232666,288.776994883861,2.8561269906797926,1.1463913334645017,4.728352535334932
participant 01 raw,奶1,56.89223,57.15074,220.7636870988697,196.37227223732177,255.15885807654817,221.18240068913957,243.4304828167592,2.0022228001802937,2.0214572601895573,2.994351676096017
participant 01 raw,奶2,57.15074,57.6227,271.03432476025665,258.1648772558326,284.36539592792195,271.62417088734566,280.3209345739392,4.084694954660581,4.106762010897564,4.426673496470421
participant 01 raw,公1,58.86604,59.16466,267.42241065298424,218.70793454420476,286.124219171898,225.4640977921187,282.879540598343,3.9485112264727187,2.2160817183878865,4.518904195122702
participant 01 raw,公2,59.17807,59.59163,271.6774248654549,265.13351695786395,282.57668701623265,268.2173800754572,276.0809926471702,4.10875196555724,3.9786419816482272,4.271965844692577
participant 01 raw,姑1,61.25282,61.55738,277.65432763324384,259.6970231937247,304.40728340832374,265.03543621316754,276.0311903902826,4.329649430244374,3.8574994584262057,4.270134568708775
participant 01 raw,姑2,61.58321,62.02237,291.7285348416468,281.391152184158,337.1290117880004,285.5937533429146,296.36585547390325,4.831575933823171,4.615836652681631,4.991664824271014
participant 01 raw,叔1,63.17453,63.60023,225.29746838257324,203.80966813930775,255.62833111710043,,214.9139463509546,2.20857695678252,,1.729620472846509
participant 01 raw,叔2,63.60023,64.13698,265.84440000569964,209.73789736293483,338.52399530748187,231.87231359714508,302.059565025507,3.888435539331731,2.5005683606158176,5.184830734976438
participant 01 raw,婆1,65.41101,65.73407,226.23109867486895,208.05791511309204,273.1824918017413,261.4805892509911,212.09724645597117,2.2505550227864513,3.72042768903096,1.5957022359938666
participant 01 raw,婆2,65.73407,66.14631,208.5539496629903,69.08527323538358,264.67566120766503,238.73299936307347,180.92600359517078,1.424689765921414,2.796556001440088,-0.01784278682122888
participant 01 raw,婆3,67.49821,67.84482,216.73106152362823,199.4282465605911,264.1602156300116,243.94313490405665,205.06255501380326,1.8150858872613649,3.015706351713825,1.2533163308059627
participant 01 raw,婆4,67.84482,68.28206,245.18115273500433,230.24492955143444,326.52155138678603,231.12120373087538,305.5337969757847,3.067091865579566,2.4676331046825215,5.300917478298948
