speaker,syllable,t_start,t_end,f0_mean,f0_min,f0_max,f0_start,f0_end,T_mean,T_start,T_end,tone_5deg
participant 01 raw,妈,0.71102,1.19959,234.2881328630553,117.02321890946868,347.4521117413308,282.18851675040656,196.2703362021288,2.688843286478086,4.461845752831197,1.0012861205372496,41
participant 01 raw,麻,2.18764,2.69409,210.58989503673249,72.0562118556881,300.5580077133151,,,1.6724599034040164,,,22
participant 01 raw,马,3.80453,4.3876,254.69332728158247,203.76637435737783,292.8735062835596,,,3.4847676458073327,,,33
participant 01 raw,骂,5.61343,6.11626,176.69726551073674,136.72753809199017,247.29731583622396,,,0.0,,,11
participant 01 raw,花,7.75201,8.38606,279.0185338338943,175.63418936111626,349.6251853074266,,,4.354172064040435,,,44
participant 01 raw,高,9.59877,10.12653,256.8995793063585,212.5028296900721,298.14614490496507,,,3.5669738260874877,,,44
participant 01 raw,多,11.3847,11.85205,268.78726812155094,227.25726548767096,312.34999747156746,,,3.998111061172324,,,44
participant 01 raw,天,13.20954,13.81147,262.05302399098844,229.7376775647207,324.80820681964525,,,3.75627589921002,,,44
participant 01 raw,头,15.24252,15.66191,202.2763612426388,120.08527890144342,257.1392503103206,,,1.288570473586919,,,11
participant 01 raw,牛,16.98837,17.54989,206.73483594582393,168.4696055036772,262.20095752181726,,213.33241349789228,1.4963675731560238,,1.7957818913209551,11
participant 01 raw,人,18.9365,19.58504,202.86726929644357,94.7669737119731,262.54449248107784,262.54449248107784,109.67669637295882,1.316372878965841,3.77413422515491,-4.54537163808136,41
participant 01 raw,狼,20.79106,21.36924,209.43176213667,173.07964622889423,269.34774504108447,269.34774504108447,,1.619899464224701,4.01796459453063,,22
participant 01 raw,你,22.58905,23.21102,276.38341205092087,265.37400942969805,286.21200694518257,,,4.263730571139877,,,44
participant 01 raw,我,24.3145,24.98459,264.54524224048936,246.8706494072976,287.31508831400015,284.88462297826976,,3.8464913781699406,4.552475833160558,,44
participant 01 raw,米,26.12409,26.7425,272.481039207663,252.34597990271695,290.8248811153454,,,4.128198478131181,,,44
participant 01 raw,水,27.86049,28.56087,219.5351360718166,106.29776368763729,318.8118804701937,,,2.06894888592696,,,22
participant 01 raw,饭,29.89767,30.67648,200.1850542411118,177.79520301659124,256.29516991008404,,,1.1895172486386163,,,11
participant 01 raw,菜,31.79854,32.52209,206.92079920281955,175.24522515017952,333.49246131661135,,,1.5049371504017983,,,22
participant 01 raw,豆,33.67038,34.21215,211.7138748440171,174.70494445153273,322.8754800391781,227.45060474651825,313.531553749076,1.7231946792427382,2.4065466320829727,5.465701321629282,25
participant 01 raw,二,35.42498,35.97923,223.66091508708664,186.61196218185475,323.9959810100795,,,2.246406155878099,,,22
participant 01 raw,爸1,38.17386,38.40019,215.9587108465906,199.7248478945391,260.6464959702956,259.6309949375967,210.1333603390032,1.9124006927765511,3.667775321514609,1.6517752326474493,42
participant 01 raw,爸2,38.40019,38.82256,247.12916586051728,209.77491154682176,300.7295739671114,,,3.1974153118382795,,,33
participant 01 raw,妈1,40.45406,40.6501,247.2938854434948,235.6841715503701,271.01831136988596,268.7677560936555,269.58045081174294,3.203765954980339,3.997419149506838,4.026195496779967,44
participant 01 raw,妈2,40.6501,41.11167,287.72658548689884,271.43695626405355,303.14018988808095,272.6742890373218,,4.647085003786808,4.134955729058133,,55
participant 01 raw,姐1,43.00755,43.28913,272.26682274844796,248.6745818905487,296.4164900987029,,261.4260559907991,4.120702496834272,,3.733445294099061,44
participant 01 raw,姐2,43.28913,43.65982,239.6012628115828,195.71392536968307,276.5537129012697,,203.56277002340573,2.9025719724274563,,1.3489928358483592,33
participant 01 raw,妹1,45.49408,45.77031,229.68270713456937,203.27811792913585,269.538769623937,,204.5908533747016,2.499624379276267,,1.3970078164951696,22
participant 01 raw,妹2,45.77031,46.27466,182.8871532715922,165.85012081046074,206.6306668094107,205.8331546328422,,0.3281678119461118,1.4547066009483491,,11
participant 01 raw,哥1,47.89353,48.15961,280.5579342372557,248.0363580344049,315.38285258372576,,292.01686454935304,4.406612273601467,,4.788153094728048,44
participant 01 raw,哥2,48.19631,48.6216,298.58019629430436,292.56796608045323,317.5214783587267,,,5.0,,,55
participant 01 raw,弟1,50.12603,50.391,225.46231954507897,190.9960085092961,242.01356823625883,,,2.3228635001235016,,,22
participant 01 raw,弟2,50.40452,50.81382,195.43283537369533,181.1540330207145,225.3418317839906,,,0.960529328932205,,,11
